Var1,foldSize,accuracy,sensitivity,specificity
Linear SVM Model,5,0.896551724137931,0.949008498583569,0.125
Linear SVM Model,5,0.936339522546419,1,0
KNN Classifier k-5,10,0.914893617021277,0.977272727272727,0
KNN Classifier k-7,10,0.925531914893617,0.988636363636364,0
Decision Tree,10,0.936170212765957,1,0
Linear SVM Model,10,0.882978723404255,0.931818181818182,0.166666666666667
Linear SVM Model,10,0.936170212765957,1,0
KNN Classifier k-5,5,0.856763925729443,0.949253731343284,0.119047619047619
KNN Classifier k-7,5,0.880636604774536,0.976119402985075,0.119047619047619
Decision Tree,5,0.877984084880637,0.982089552238806,0.0476190476190476
Linear SVM Model,5,0.859416445623342,0.946268656716418,0.166666666666667
Linear SVM Model,5,0.888594164456233,1,0
KNN Classifier k-5,10,0.872340425531915,0.976047904191617,0.0476190476190476
KNN Classifier k-7,10,0.867021276595745,0.970059880239521,0.0476190476190476
Decision Tree,10,0.872340425531915,0.976047904191617,0.0476190476190476
Linear SVM Model,10,0.824468085106383,0.916167664670659,0.0952380952380952
Linear SVM Model,10,0.888297872340426,1,0
KNN Classifier k-5,5,0.763925729442971,0.837121212121212,0.592920353982301
KNN Classifier k-7,5,0.750663129973475,0.806818181818182,0.619469026548673
Decision Tree,5,0.750663129973475,0.829545454545455,0.566371681415929
Linear SVM Model,5,0.737400530503979,0.821969696969697,0.539823008849557
Linear SVM Model,5,0.803713527851459,0.852272727272727,0.690265486725664
KNN Classifier k-5,10,0.765957446808511,0.871212121212121,0.517857142857143
KNN Classifier k-7,10,0.787234042553192,0.893939393939394,0.535714285714286
Decision Tree,10,0.787234042553192,0.901515151515151,0.517857142857143
Linear SVM Model,10,0.734042553191489,0.825757575757576,0.517857142857143
Linear SVM Model,10,0.771276595744681,0.863636363636364,0.553571428571429
KNN Classifier k-5,5,0.819628647214854,0.903654485049834,0.486842105263158
KNN Classifier k-7,5,0.830238726790451,0.906976744186046,0.526315789473684
Decision Tree,5,0.83289124668435,0.92358803986711,0.473684210526316
Linear SVM Model,5,0.811671087533157,0.887043189368771,0.513157894736842
Linear SVM Model,5,0.859416445623342,0.950166112956811,0.5
KNN Classifier k-5,10,0.792553191489362,0.88,0.447368421052632
KNN Classifier k-7,10,0.797872340425532,0.86,0.552631578947368
Decision Tree,10,0.787234042553192,0.866666666666667,0.473684210526316
Linear SVM Model,10,0.803191489361702,0.886666666666667,0.473684210526316
Linear SVM Model,10,0.819148936170213,0.9,0.5
KNN Classifier k-5,5,0.787798408488064,0.881789137380192,0.328125
KNN Classifier k-7,5,0.790450928381963,0.904153354632588,0.234375
Decision Tree,5,0.806366047745358,0.920127795527157,0.25
Linear SVM Model,5,0.79840848806366,0.865814696485623,0.46875
Linear SVM Model,5,0.830238726790451,1,0
KNN Classifier k-5,10,0.824468085106383,0.948717948717949,0.21875
KNN Classifier k-7,10,0.835106382978723,0.967948717948718,0.1875
Decision Tree,10,0.835106382978723,0.961538461538462,0.21875
Linear SVM Model,10,0.835106382978723,0.92948717948718,0.375
Linear SVM Model,10,0.829787234042553,1,0
KNN Classifier k-5,5,0.80106100795756,0.879310344827586,0.540229885057471
KNN Classifier k-7,5,0.803713527851459,0.868965517241379,0.586206896551724
Decision Tree,5,0.80106100795756,0.879310344827586,0.540229885057471
Linear SVM Model,5,0.755968169761273,0.837931034482759,0.482758620689655
Linear SVM Model,5,0.830238726790451,0.886206896551724,0.64367816091954
KNN Classifier k-5,10,0.771276595744681,0.862068965517241,0.465116279069767
